学号	姓名	性别	专业	班级	宿舍	院系	出生日期	
202215000621	张伟强	男	计算机科学与技术	1	H12206	IE	2002-01-15
202233000302	李佳乐	女	国际经济与贸易	3	H4B051	BIZ	2002-03-22
202212200940	王志豪	男	机械工程	9	H5C023	ME	2001-07-11
202124100204	陈思源	男	法学	2	H9A012	LAW	2002-05-30
202113300305	赵文杰	男	生物工程	3	J2103	LS	2001-12-25
202114000721	刘晓峰	男	人工智能	7	J4202	CSAI	2002-08-17
202324000107	孙建军	男	计算机科学与技术	1	J6711	CSAI	2002-10-05
202333000308	李强	男	金融学	3	L10402	BIZ	2002-02-28
202322000209	王丽	女	英语	2	S1101	FL	2002-04-13
202013000110	杨晨曦	男	环境工程	1	L21603	WCE	2001-09-23
